name,link,tag
"Bạn nên tránh sử dụng Soft Delete khi có thể, và đây là lý do tại sao",https://viblo.asia/p/ban-nen-tranh-su-dung-soft-delete-khi-co-the-va-day-la-ly-do-tai-sao-LzD5dL1E5jY,rails
Docker: Chưa biết gì đến biết dùng ( Phần 4 - Một số trick tối ưu và lưu ý ),https://viblo.asia/p/docker-chua-biet-gi-den-biet-dung-phan-4-mot-so-trick-toi-uu-va-luu-y-LzD5dJREZjY,linux
"Sự khác nhau giữa GETDATE(), SYSDATETIME() với GETUTCDATE() và cách so sánh Date trong SQL Server",https://viblo.asia/p/su-khac-nhau-giua-getdate-sysdatetime-voi-getutcdate-va-cach-so-sanh-date-trong-sql-server-QpmleLxDZrd,sqlserver
SQL INJECTION VÀ CÁCH PHÒNG CHỐNG,https://viblo.asia/p/sql-injection-va-cach-phong-chong-OeVKB410lkW,""
Phân tích thiết kế hệ thống thông tin sử dụng biểu đồ UML (Phần 1),https://viblo.asia/p/phan-tich-thiet-ke-he-thong-thong-tin-su-dung-bieu-do-uml-phan-1-PjxMe6yNG4YL,abstract class
Bài toán tìm đường đi ngắn nhất với giải thuật Dijkstra,https://viblo.asia/p/bai-toan-tim-duong-di-ngan-nhat-voi-giai-thuat-dijkstra-eW65GRxLlDO,ruby
Thuật toán sắp xếp nào là nhanh nhất?,https://viblo.asia/p/thuat-toan-sap-xep-nao-la-nhanh-nhat-1VgZvxam5Aw,sort
"Data Warehousing là gì? Các kiểu (types) , định nghĩa và ví dụ",https://viblo.asia/p/data-warehousing-la-gi-cac-kieu-types-dinh-nghia-va-vi-du-Az45bYNQlxY,big data
Học Regular Expression và cuộc đời bạn sẽ bớt khổ (Updated v2.2),https://viblo.asia/p/hoc-regular-expression-va-cuoc-doi-ban-se-bot-kho-updated-v22-Az45bnoO5xY,clean code
Tìm hiểu về Microservices - Phần 1: Microservices là gì?,https://viblo.asia/p/tim-hieu-ve-microservices-phan-1-microservices-la-gi-63vKjVjyK2R,web server
Mô hình quan hệ - thực thể (Entity – Relationship Model),https://viblo.asia/p/mo-hinh-quan-he-thuc-the-entity-relationship-model-oOVlYEenl8W,relationships
"Dự án tiềm năng Pinetwork, đào coin trên điện thoại với nền tảng blockchain4.0, sử dụng công nghệ thuật toán stellar",https://viblo.asia/p/du-an-tiem-nang-pinetwork-dao-coin-tren-dien-thoai-voi-nen-tang-blockchain40-su-dung-cong-nghe-thuat-toan-stellar-XL6lA9qAlek,pinetwork
Kỹ thuật kiểm thử hộp đen - Black box Testing,https://viblo.asia/p/ky-thuat-kiem-thu-hop-den-black-box-testing-WrJvYADwvVO,qa
Dừng ngay việc đặt tên biến là data,https://viblo.asia/p/dung-ngay-viec-dat-ten-bien-la-data-924lJmJbZPM,javascript es6
Chuẩn hóa cơ sở dữ liệu quan hệ,https://viblo.asia/p/chuan-hoa-co-so-du-lieu-quan-he-bWrZnLrY5xw,chuan hoa co so du lieu
Chinh phục RxDart Flutter trong 3 nốt nhạc. Nốt cuối cùng: RxDart không đáng sợ như bạn nghĩ,https://viblo.asia/p/chinh-phuc-rxdart-flutter-trong-3-not-nhac-not-cuoi-cung-rxdart-khong-dang-so-nhu-ban-nghi-bWrZn0qp5xw,rxdart
