name,link,tags
Tổng quan về Collections trong Java,https://viblo.asia/p/tong-quan-ve-collections-trong-java-maGK7E0Dlj2,arraylist
"BERT, RoBERTa, PhoBERT, BERTweet: Ứng dụng state-of-the-art pre-trained model cho bài toán phân loại văn bản",https://viblo.asia/p/bert-roberta-phobert-bertweet-ung-dung-state-of-the-art-pre-trained-model-cho-bai-toan-phan-loai-van-ban-4P856PEWZY3,Deep Learning
Xử lý datetime dễ dàng hơn với thư viện Carbon trong laravel,https://viblo.asia/p/xu-ly-datetime-de-dang-hon-voi-thu-vien-carbon-trong-laravel-6J3ZgOmWZmB,Carbon
Sơ lược về API testing,https://viblo.asia/p/so-luoc-ve-api-testing-1VgZvxkm5Aw,QA
1-7 Phép toán tập hợp trong SQL,https://viblo.asia/p/1-7-phep-toan-tap-hop-trong-sql-zoZVRgmxGmg5,SQL
Tìm hiểu về Migration trong Laravel.,https://viblo.asia/p/tim-hieu-ve-migration-trong-laravel-bWrZn1MpKxw,Laravel
Hãy trưởng thành - Grow up,https://viblo.asia/p/hay-truong-thanh-grow-up-ByEZkJ4qKQ0,Career
Customize Scrollbar trong trình duyệt với CSS,https://viblo.asia/p/customize-scrollbar-trong-trinh-duyet-voi-css-bWrZnerwKxw,Scrollbar
Một số hàm thông dụng trong matlab để vẽ đồ thị,https://viblo.asia/p/mot-so-ham-thong-dung-trong-matlab-de-ve-do-thi-RQqKLxebK7z,""
Cài đặt WSL / WSL2 trên Windows 10 để code như trên Ubuntu,https://viblo.asia/p/cai-dat-wsl-wsl2-tren-windows-10-de-code-nhu-tren-ubuntu-4P856oM1KY3,WSL
"Dockerize ứng dụng VueJS, ReactJS",https://viblo.asia/p/dockerize-ung-dung-vuejs-reactjs-ORNZqxwNK0n,ReactJS
Tìm hiểu thuật toán mã hóa khóa đối xứng AES,https://viblo.asia/p/tim-hieu-thuat-toan-ma-hoa-khoa-doi-xung-aes-gAm5yxOqldb,Information system security and safety
Tìm hiểu về thư viện axios,https://viblo.asia/p/tim-hieu-ve-thu-vien-axios-gAm5ywELZdb,JavaScript
4 đặc tính của lập trình hướng đối tượng (Object oriented program),https://viblo.asia/p/4-dac-tinh-cua-lap-trinh-huong-doi-tuong-object-oriented-program-XL6lAA7Nlek,C
Giới thiệu Typescript - Sự khác nhau giữa Typescript và Javascript,https://viblo.asia/p/gioi-thieu-typescript-su-khac-nhau-giua-typescript-va-javascript-LzD5dDn05jY,JavaScript
"Deploy ứng dụng chat realtime Laravel, VueJS, SockerIO, Redis trên Ubuntu",https://viblo.asia/p/deploy-ung-dung-chat-realtime-laravel-vuejs-sockerio-redis-tren-ubuntu-63vKjboRK2R,Laravel
Biến chiếc PC chạy Windows thành chiếc máy tính hoàn hảo cho dev,https://viblo.asia/p/bien-chiec-pc-chay-windows-thanh-chiec-may-tinh-hoan-hao-cho-dev-gGJ59QGa5X2,windows
Thuật toán quay lui (Backtracking),https://viblo.asia/p/thuat-toan-quay-lui-backtracking-bJzKmLbD59N,Algorithm
[Pentest Android] Cài đặt Android Emulator sao cho ngầu :-?,https://viblo.asia/p/pentest-android-cai-dat-android-emulator-sao-cho-ngau-yMnKMjkAZ7P,Android Studio
Tìm hiểu về URL và cách nhận biết link URL an toàn,https://viblo.asia/p/tim-hieu-ve-url-va-cach-nhan-biet-link-url-an-toan-3P0lPOonZox,""
API là gì? Những đặc điểm nổi bật của Web API,https://viblo.asia/p/api-la-gi-nhung-dac-diem-noi-bat-cua-web-api-Qpmle9L9lrd,""
Những lệnh Git cơ bản cần nhớ,https://viblo.asia/p/nhung-lenh-git-co-ban-can-nho-V3m5W1OyZO7,cau hoi ve git
Index trong Mysql và cách sử dụng,https://viblo.asia/p/index-trong-mysql-va-cach-su-dung-K1ov1akxv5b9,MySql
Căn giữa các phần tử HTML theo chiều dọc (phần 1),https://viblo.asia/p/can-giua-cac-phan-tu-html-theo-chieu-doc-phan-1-gGJ59jyJKX2,centering
[Secure coding - Part 1] Là developer cần làm gì để ứng dụng của mình an toàn và bảo mật hơn?,https://viblo.asia/p/secure-coding-part-1-la-developer-can-lam-gi-de-ung-dung-cua-minh-an-toan-va-bao-mat-hon-bJzKmPqD59N,Security
11 phút để làm quen với Git,https://viblo.asia/p/11-phut-de-lam-quen-voi-git-Do754e2BKM6,GitHub
Mô hình quan hệ - thực thể (Entity – Relationship Model),https://viblo.asia/p/mo-hinh-quan-he-thuc-the-entity-relationship-model-oOVlYEenl8W,relationships
Docker: Chưa biết gì đến biết dùng (Phần 1- Lịch sử),https://viblo.asia/p/docker-chua-biet-gi-den-biet-dung-phan-1-lich-su-ByEZkWrEZQ0,Docker Compose
Làm việc với Bottom Navigation trong Android,https://viblo.asia/p/lam-viec-voi-bottom-navigation-trong-android-gGJ59j6pKX2,material design
Một vài thủ thuật CSS mà chính Frontend có thể còn chưa biết (Phần 28),https://viblo.asia/p/mot-vai-thu-thuat-css-ma-chinh-frontend-co-the-con-chua-biet-phan-28-Do754evVKM6,Bí kíp Frontend
"em, rem trong css",https://viblo.asia/p/em-rem-trong-css-naQZRGjPlvx,CSS
Cùng tìm hiểu về GraphQL,https://viblo.asia/p/cung-tim-hieu-ve-graphql-07LKX4zeKV4,""
QUERY BUILDER TRONG LARAVEL,https://viblo.asia/p/query-builder-trong-laravel-RnB5pXm75PG,Laravel
Giới thiệu về Numpy (một thư viện chủ yếu phục vụ cho khoa học máy tính của Python),https://viblo.asia/p/gioi-thieu-ve-numpy-mot-thu-vien-chu-yeu-phuc-vu-cho-khoa-hoc-may-tinh-cua-python-maGK7kz9Kj2,Python3
Những Tính Năng Hay Trong Visual Studio Code (VSCode),https://viblo.asia/p/nhung-tinh-nang-hay-trong-visual-studio-code-vscode-RnB5pkmDlPG,Visual Studio Code
Automation Test với Docker và Gitlab CI,https://viblo.asia/p/automation-test-voi-docker-va-gitlab-ci-yMnKMv2DZ7P,Jest
Phân tích cây vấn đề/cây giải pháp,https://viblo.asia/p/phan-tich-cay-van-decay-giai-phap-1VgZv3W2lAw,Problem Solving
Kỹ thuật kiểm thử hộp trắng - White-box testing,https://viblo.asia/p/ky-thuat-kiem-thu-hop-trang-white-box-testing-maGK7MpOlj2,""
Tìm hiểu giao thức TCP và UDP,https://viblo.asia/p/tim-hieu-giao-thuc-tcp-va-udp-jvEla11xlkw,Kiến trúc phân tầng TCP/IP
Tổng hợp các bài hướng dẫn về Design Pattern - 23 mẫu cơ bản của GoF,https://viblo.asia/p/tong-hop-cac-bai-huong-dan-ve-design-pattern-23-mau-co-ban-cua-gof-3P0lPQPG5ox,Singleton pattern
Phân tích thiết kế hệ thống thông tin sử dụng biểu đồ UML (Phần 2),https://viblo.asia/p/phan-tich-thiet-ke-he-thong-thong-tin-su-dung-bieu-do-uml-phan-2-0bDM6wpAG2X4,sequence diagram
Ràng buộc (Constraint) trong SQL,https://viblo.asia/p/rang-buoc-constraint-trong-sql-eW65GAnJZDO,ràng buộc sql
Tìm hiểu về Use Case,https://viblo.asia/p/tim-hieu-ve-use-case-DbmvmLAXkAg,QA
Ứng dụng Convolutional Neural Network trong bài toán phân loại ảnh,https://viblo.asia/p/ung-dung-convolutional-neural-network-trong-bai-toan-phan-loai-anh-4dbZNg8ylYM,image classification
Kỹ thuật tấn công XSS và cách ngăn chặn,https://viblo.asia/p/ky-thuat-tan-cong-xss-va-cach-ngan-chan-YWOZr0Py5Q0,QA
Cùng tìm hiểu về các hook trong React hooks,https://viblo.asia/p/cung-tim-hieu-ve-cac-hook-trong-react-hooks-Ljy5VYgjlra,react hooks
