name,link,tags
Phân tích yêu cầu phần mềm,https://viblo.asia/p/phan-tich-yeu-cau-phan-mem-gDVK2WRvZLj,""
Sử dụng trigger trong SQL qua ví dụ cơ bản.,https://viblo.asia/p/su-dung-trigger-trong-sql-qua-vi-du-co-ban-aWj538APK6m,mysql
1 số kỹ thuật tạo layout đơn giản bằng Flexbox (Phần 1),https://viblo.asia/p/1-so-ky-thuat-tao-layout-don-gian-bang-flexbox-phan-1-OeVKBN9QKkW,html
Phân tích thiết kế hệ thống thông tin sử dụng biểu đồ UML (Phần 1),https://viblo.asia/p/phan-tich-thiet-ke-he-thong-thong-tin-su-dung-bieu-do-uml-phan-1-PjxMe6yNG4YL,abstract class
So sánh Interface và Abstract trong lập trình hướng đối tượng.,https://viblo.asia/p/so-sanh-interface-va-abstract-trong-lap-trinh-huong-doi-tuong-63vKjpk6l2R,php
"Khái niệm cơ bản về SOAP, REST và cách phân biệt chúng",https://viblo.asia/p/khai-niem-co-ban-ve-soap-rest-va-cach-phan-biet-chung-oOVlYyoVl8W,""
"Học Flutter từ cơ bản đến nâng cao. Phần 6: Key là gì, có mở khóa trái tim nàng được không?",https://viblo.asia/p/hoc-flutter-tu-co-ban-den-nang-cao-phan-6-key-la-gi-co-mo-khoa-trai-tim-nang-duoc-khong-ORNZqk4q50n,flutter
Lộ trình 2 năm để trở thành lập trình viên Reactjs chuyên nghiệp,https://viblo.asia/p/lo-trinh-2-nam-de-tro-thanh-lap-trinh-vien-reactjs-chuyen-nghiep-gDVK24xvlLj,reactjs nâng cao
Bài toán tìm đường đi ngắn nhất với giải thuật Dijkstra,https://viblo.asia/p/bai-toan-tim-duong-di-ngan-nhat-voi-giai-thuat-dijkstra-eW65GRxLlDO,ruby
Tổng quan về Collections trong Java,https://viblo.asia/p/tong-quan-ve-collections-trong-java-maGK7E0Dlj2,arraylist
"BERT, RoBERTa, PhoBERT, BERTweet: Ứng dụng state-of-the-art pre-trained model cho bài toán phân loại văn bản",https://viblo.asia/p/bert-roberta-phobert-bertweet-ung-dung-state-of-the-art-pre-trained-model-cho-bai-toan-phan-loai-van-ban-4P856PEWZY3,deep learning
Hãy trưởng thành - Grow up,https://viblo.asia/p/hay-truong-thanh-grow-up-ByEZkJ4qKQ0,career
Sơ lược về API testing,https://viblo.asia/p/so-luoc-ve-api-testing-1VgZvxkm5Aw,qa
1-7 Phép toán tập hợp trong SQL,https://viblo.asia/p/1-7-phep-toan-tap-hop-trong-sql-zoZVRgmxGmg5,sql
Tìm hiểu về Migration trong Laravel.,https://viblo.asia/p/tim-hieu-ve-migration-trong-laravel-bWrZn1MpKxw,laravel
Customize Scrollbar trong trình duyệt với CSS,https://viblo.asia/p/customize-scrollbar-trong-trinh-duyet-voi-css-bWrZnerwKxw,scrollbar
Xử lý datetime dễ dàng hơn với thư viện Carbon trong laravel,https://viblo.asia/p/xu-ly-datetime-de-dang-hon-voi-thu-vien-carbon-trong-laravel-6J3ZgOmWZmB,carbon
Tìm hiểu thuật toán mã hóa khóa đối xứng AES,https://viblo.asia/p/tim-hieu-thuat-toan-ma-hoa-khoa-doi-xung-aes-gAm5yxOqldb,information system security and safety
Cài đặt WSL / WSL2 trên Windows 10 để code như trên Ubuntu,https://viblo.asia/p/cai-dat-wsl-wsl2-tren-windows-10-de-code-nhu-tren-ubuntu-4P856oM1KY3,wsl
Giới thiệu Typescript - Sự khác nhau giữa Typescript và Javascript,https://viblo.asia/p/gioi-thieu-typescript-su-khac-nhau-giua-typescript-va-javascript-LzD5dDn05jY,javascript
Tìm hiểu về thư viện axios,https://viblo.asia/p/tim-hieu-ve-thu-vien-axios-gAm5ywELZdb,javascript
"Dockerize ứng dụng VueJS, ReactJS",https://viblo.asia/p/dockerize-ung-dung-vuejs-reactjs-ORNZqxwNK0n,reactjs
Biến chiếc PC chạy Windows thành chiếc máy tính hoàn hảo cho dev,https://viblo.asia/p/bien-chiec-pc-chay-windows-thanh-chiec-may-tinh-hoan-hao-cho-dev-gGJ59QGa5X2,windows
"Deploy ứng dụng chat realtime Laravel, VueJS, SockerIO, Redis trên Ubuntu",https://viblo.asia/p/deploy-ung-dung-chat-realtime-laravel-vuejs-sockerio-redis-tren-ubuntu-63vKjboRK2R,laravel
Một số hàm thông dụng trong matlab để vẽ đồ thị,https://viblo.asia/p/mot-so-ham-thong-dung-trong-matlab-de-ve-do-thi-RQqKLxebK7z,""
4 đặc tính của lập trình hướng đối tượng (Object oriented program),https://viblo.asia/p/4-dac-tinh-cua-lap-trinh-huong-doi-tuong-object-oriented-program-XL6lAA7Nlek,c
Thuật toán quay lui (Backtracking),https://viblo.asia/p/thuat-toan-quay-lui-backtracking-bJzKmLbD59N,algorithm
Tìm hiểu về URL và cách nhận biết link URL an toàn,https://viblo.asia/p/tim-hieu-ve-url-va-cach-nhan-biet-link-url-an-toan-3P0lPOonZox,""
[Pentest Android] Cài đặt Android Emulator sao cho ngầu :-?,https://viblo.asia/p/pentest-android-cai-dat-android-emulator-sao-cho-ngau-yMnKMjkAZ7P,android studio
Index trong Mysql và cách sử dụng,https://viblo.asia/p/index-trong-mysql-va-cach-su-dung-K1ov1akxv5b9,mysql
Những lệnh Git cơ bản cần nhớ,https://viblo.asia/p/nhung-lenh-git-co-ban-can-nho-V3m5W1OyZO7,cau hoi ve git
Căn giữa các phần tử HTML theo chiều dọc (phần 1),https://viblo.asia/p/can-giua-cac-phan-tu-html-theo-chieu-doc-phan-1-gGJ59jyJKX2,centering
API là gì? Những đặc điểm nổi bật của Web API,https://viblo.asia/p/api-la-gi-nhung-dac-diem-noi-bat-cua-web-api-Qpmle9L9lrd,""
Docker: Chưa biết gì đến biết dùng (Phần 1- Lịch sử),https://viblo.asia/p/docker-chua-biet-gi-den-biet-dung-phan-1-lich-su-ByEZkWrEZQ0,docker compose
11 phút để làm quen với Git,https://viblo.asia/p/11-phut-de-lam-quen-voi-git-Do754e2BKM6,github
[Secure coding - Part 1] Là developer cần làm gì để ứng dụng của mình an toàn và bảo mật hơn?,https://viblo.asia/p/secure-coding-part-1-la-developer-can-lam-gi-de-ung-dung-cua-minh-an-toan-va-bao-mat-hon-bJzKmPqD59N,security
Mô hình quan hệ - thực thể (Entity – Relationship Model),https://viblo.asia/p/mo-hinh-quan-he-thuc-the-entity-relationship-model-oOVlYEenl8W,relationships
